step,sampling/sampling_logp_difference/mean,sampling/sampling_logp_difference/max,sampling/importance_sampling_ratio/min,sampling/importance_sampling_ratio/mean,sampling/importance_sampling_ratio/max,completions/mean_length,completions/max_length,entropy,kl,reward,loss,diag/accuracy,diag/zero_var_group_ratio,frac_reward_zero_std
1,0.01199,0.505,0.3717,0.9635,2.427,171.7,700,0.588,0,0.5425,0.1078,0.4062,0,0
2,0.01279,0.2395,0.3747,0.9301,2.134,178.3,700,0.6294,0,0.491,0.1224,0.3438,0.25,0
3,0.01065,0.4635,0.3774,0.9612,1.794,151.2,309,0.4601,0.000326,0.425,0.126,0.2812,0,0
4,0.01784,0.5845,0.1862,0.9862,2.729,239.9,700,0.8626,0.0004248,0.4312,0.1858,0.2812,0.25,0
5,0.01312,0.2983,0.2071,0.9899,2.63,214.7,700,0.6341,0.0003807,0.4563,0.05886,0.2812,0.25,0
6,0.01056,0.2298,0.305,0.8894,1.419,161.9,298,0.4758,0.0003276,0.4,-0.103,0.2812,0,0
7,0.01431,0.2923,0.1504,0.8962,1.638,221.8,700,0.7708,0.0004215,0.5,0.09386,0.3438,0.25,0
8,0.01601,0.2893,0.436,1.061,2.265,229.7,700,0.836,0.0005117,0.1813,-0.143,0.0625,0.75,0
9,0.01763,0.5668,0.2765,1.215,2.686,224.4,700,0.8059,0.0005836,0.4767,0.02163,0.3438,0.5,0
10,0.01085,0.2429,0.5139,0.9572,2.078,192.2,700,0.5339,0.0005536,0.7482,0.5081,0.5938,0.25,0
11,0.01231,0.2554,0.3188,0.8928,1.842,249.4,700,0.5753,0.0008497,0.3726,0.122,0.2188,0,0
12,0.01452,0.2585,0.2402,0.9258,1.7,191,700,0.7994,0.001493,0.7721,-0.3021,0.5938,0,0
13,0.0149,0.3971,0.1681,1.044,2.623,216,644,0.7522,0.002446,0.4875,0.2191,0.3125,0.25,0
14,0.01653,0.856,0.09361,0.9288,1.906,206.6,700,0.7196,0.003381,0.7547,-0.04495,0.5625,0.25,0.25
15,0.01357,0.2699,0.1517,0.9234,1.528,196.8,700,0.5813,0.003152,0.7163,0.2303,0.5312,0,0
16,0.01425,0.2432,0.4323,0.9786,2.318,258.7,700,0.6985,0.003675,0.394,-0.3271,0.2188,0.25,0.25
