step,sampling/sampling_logp_difference/mean,sampling/sampling_logp_difference/max,sampling/importance_sampling_ratio/min,sampling/importance_sampling_ratio/mean,sampling/importance_sampling_ratio/max,completions/mean_length,completions/max_length,entropy,kl,reward,loss,diag/accuracy,diag/zero_var_group_ratio,frac_reward_zero_std
1,0.01217,0.329,0.418,0.9856,1.722,103.8,195,0.4237,0,0.8188,0.133,0.625,0,0
2,0.02342,7.584,1.455e-07,0.8927,1.791,103,396,0.568,0,0.5438,-0.0325,0.3438,0.5,0.5
3,0.01436,1.266,0.254,0.9063,1.79,115.3,225,0.4305,0.0004112,0.6375,-0.1145,0.4375,0.25,0.25
4,0.0188,2.776,0.01428,0.9186,2.433,102.8,287,0.5996,0.0005297,0.575,-0.03821,0.375,0,0
5,0.02105,3.299,0,1.031,2.936,121.8,275,0.4885,0.0006118,0.45,0.1148,0.25,0,0
6,0.01194,0.3402,0.2929,0.9687,2.876,118.7,380,0.4622,0.0003584,0.7313,0.3009,0.5312,0,0
7,0.01846,1.218,0,0.9002,2.194,91.06,180,0.6184,0.00056,0.7625,0.02811,0.5625,0.25,0.25
8,0.0167,1.828,0.09463,0.9073,1.949,125.3,250,0.5466,0.0006207,0.4438,-0.06247,0.25,0.25,0.25
9,0.02053,0.6346,0,0.8946,2.856,112,187,0.5964,0.0005284,0.5375,-0.01187,0.3438,0.25,0.25
10,0.01575,0.6831,0.1636,0.9534,1.747,128.6,681,0.5379,0.0004631,0.8249,-0.1299,0.625,0.25,0.25
11,0.01567,6.693,0.0001214,0.8476,2.113,146.7,250,0.4947,0.0004048,0.575,-0.1457,0.375,0,0
12,0.01952,1.132,0.2189,0.9135,2.754,85.03,281,0.663,0.001443,0.6375,-0.04325,0.4375,0,0
13,0.01737,0.9345,0.2488,0.9322,1.57,112.3,253,0.6621,0.0005294,0.7313,-0.07465,0.5312,0.25,0.25
14,0.01868,0.5495,0.4967,0.9904,2.086,86.28,158,0.5566,0.0007013,0.6063,0.05484,0.4062,0.25,0.25
15,0.01475,0.727,0.2908,0.9125,1.24,90.47,164,0.4502,0.0004775,0.6063,0.02163,0.4062,0,0
16,0.02155,9.185,1.02e-05,0.8317,1.788,113.9,224,0.5484,0.000514,0.575,-0.1014,0.375,0,0
17,0.01547,0.6182,0.4823,1.025,1.738,84.5,138,0.4857,0.0005785,0.6375,-0.02653,0.4375,0,0
18,0.02194,11.7,1.518e-07,0.8914,1.618,98,160,0.3877,0.0004744,0.825,-0.08786,0.625,0.25,0.25
19,0.01287,0.4005,0.3956,1.072,2.837,91.84,147,0.4968,0.0004596,0.8563,-0.01141,0.6562,0.25,0.25
20,0.01463,1.951,0,0.9102,1.881,118,187,0.4458,0.0006116,0.7938,-0.1077,0.5938,0.25,0.25
21,0.01418,0.4534,0.3736,1.032,1.551,81.44,159,0.4917,0.0004872,0.7,0.01421,0.5,0,0
22,0.02017,3.159,0.003931,0.8861,1.822,94.03,194,0.5719,0.0007265,0.6375,0.02265,0.4375,0,0
23,0.01855,0.6646,0.2503,0.8548,1.531,162.2,398,0.6663,0.0007026,0.45,0.08208,0.25,0.5,0.5
24,0.0127,0.4964,0.3566,0.9535,1.596,78.84,143,0.4354,0.0005862,0.9188,-0.09259,0.7188,0,0
25,0.01372,0.685,0.4115,1.049,2.238,88.28,163,0.45,0.0005444,0.5125,-0.02743,0.3125,0,0
26,0.01423,0.3965,0,0.9351,1.267,107.5,700,0.574,0.0005496,0.7875,0.3262,0.5938,0.25,0
27,0.01622,1.762,0.211,1.015,2.862,127.3,263,0.4607,0.0006296,0.45,-0.05093,0.25,0.25,0.25
28,0.01379,1.035,0.4128,0.9292,1.698,107.9,168,0.4105,0.0007201,0.575,-0.1084,0.375,0,0
29,0.01822,3.508,0.00063,0.9312,1.662,102.5,245,0.4876,0.0006022,0.7938,0.05459,0.5938,0.5,0.5
30,0.01416,0.4472,0.6807,0.9781,1.795,111.4,157,0.5178,0.0006753,0.7625,-0.1329,0.5625,0,0
31,0.01516,0.9693,0.2627,0.8147,1.466,142.9,235,0.5251,0.0006591,0.6375,-0.006563,0.4375,0,0
32,0.01127,0.2921,0.3268,0.9439,1.464,79.31,194,0.373,0.0006365,1.044,0.03655,0.8438,0.5,0.5
33,0.01199,3.851,0.01643,0.921,1.517,101.1,169,0.33,0.0006076,0.7,-0.03834,0.5,0,0
34,0.02871,13.31,0,0.8389,1.91,120.9,248,0.5267,0.0008077,0.6688,0.005428,0.4688,0.75,0.75
35,0.01659,0.7013,0.5646,1.009,2.094,84.41,170,0.5737,0.0008977,0.8875,0.08587,0.6875,0,0
36,0.01525,2.297,0.1056,0.9927,1.798,103.7,256,0.4582,0.0009083,0.7,-0.0688,0.5,0.5,0.5
37,0.02022,3.009,0,0.8419,2.819,93.62,204,0.4834,0.001057,0.8563,-0.07507,0.6562,0.5,0.5
38,0.01918,8.97,4.635e-09,0.8945,2.123,136,248,0.4962,0.0008112,0.6688,0.01051,0.4688,0.5,0.5
39,0.01598,0.3968,0.2299,1.01,1.967,118.2,606,0.5573,0.001162,0.5625,-0.04681,0.375,0,0
40,0.01716,4.513,5.933e-06,0.9164,2.11,124.3,239,0.4112,0.0007933,0.8563,0.03088,0.6562,0,0
41,0.02031,6.032,1.849e-05,0.8686,1.564,100.4,281,0.485,0.0009612,0.6063,-0.002119,0.4062,0,0
42,0.01921,6.097,0.001337,0.7655,1.41,113,212,0.5384,0.001156,0.7313,0.008133,0.5312,0.5,0.5
43,0.02212,8.689,2.214e-05,1.028,2.613,100.8,247,0.5707,0.001236,0.6688,0.208,0.4688,0,0
44,0.0173,1.414,0.1276,0.8909,1.955,110.8,269,0.4651,0.001287,0.5125,0.01963,0.3125,0.25,0.25
45,0.02463,7.875,0,0.7707,1.639,139.9,320,0.5044,0.001229,0.475,0.1865,0.2812,0.5,0.25
46,0.01746,10.69,6.501e-05,0.9099,1.608,100.4,263,0.3628,0.001595,0.5438,0.06033,0.3438,0.25,0.25
47,0.01829,0.48,0.2827,0.9836,1.957,100.3,209,0.5823,0.001486,0.825,-0.02674,0.625,0.5,0.5
48,0.01576,0.8326,0.2642,0.946,1.799,112.1,208,0.5615,0.001654,0.6313,0.07482,0.4375,0,0
49,0.01425,0.8658,0.2576,0.9879,2.597,109.7,193,0.4005,0.001265,0.7938,-0.02383,0.5938,0,0
50,0.01293,0.4619,0.5717,1.102,2.331,99.44,170,0.4,0.001749,0.825,-0.07155,0.625,0,0
