step,sampling/sampling_logp_difference/mean,sampling/sampling_logp_difference/max,sampling/importance_sampling_ratio/min,sampling/importance_sampling_ratio/mean,sampling/importance_sampling_ratio/max,completions/mean_length,completions/max_length,entropy,kl,reward,loss,diag/accuracy,diag/zero_var_group_ratio,frac_reward_zero_std
1,0.01202,0.505,0.3717,0.9322,1.502,171.2,700,0.5893,0,0.505,0.2188,0.375,0,0
2,0.01279,0.2395,0.3747,0.9301,2.134,178.3,700,0.6294,0,0.491,0.1224,0.3438,0.25,0
3,0.01654,0.4716,0.1562,0.8935,2.071,189.1,700,0.5852,0.0003242,0.55,0.04487,0.4062,0,0
4,0.01731,0.4528,0,1.022,2.441,243.9,700,0.7605,0.0003905,0.5104,0.1413,0.375,0.25,0
5,0.01523,0.4081,0.1142,0.9867,2.44,209,700,0.5919,0.0003622,0.4558,-0.1179,0.2812,0.25,0
6,0.01152,0.2699,0.3349,0.9502,1.531,209,700,0.5737,0.0003354,0.275,0.09116,0.1562,0.5,0
7,0.01535,0.2744,0.1882,0.9295,2.148,231.6,700,0.8372,0.0004098,0.5877,0.338,0.4375,0.25,0
8,0.0151,0.3068,0.08302,1.032,2.867,218.6,688,0.9943,0.0004304,0.3357,-0.06438,0.2188,0.25,0
9,0.01578,0.4951,0,0.9528,1.891,200.2,575,0.6511,0.0003822,0.6313,-0.1125,0.4688,0,0
10,0.01202,0.2995,0.3646,0.9513,2.146,202.1,700,0.614,0.0003989,0.7476,-0.167,0.5938,0,0
11,0.01129,0.327,0.2093,0.9415,2.332,210.8,389,0.545,0.000367,0.3813,-0.08801,0.25,0,0
12,0.01521,0.2658,0.07586,0.9583,2.761,227.9,700,0.8646,0.0004912,0.605,0.01023,0.4688,0,0
13,0.01704,0.2497,0,0.9121,1.904,242.1,700,1.037,0.0005837,0.3608,-0.1371,0.2188,0.25,0
14,0.01723,0.6678,0,0.8845,2.368,171.2,700,0.6983,0.0005592,0.7188,-0.1118,0.5625,0,0
15,0.01232,0.2469,0.1783,0.9277,1.722,201.1,700,0.5998,0.0006267,0.7728,0.1087,0.5938,0.25,0.25
16,0.01419,0.2459,0.2092,0.9671,2.391,277.1,700,0.7542,0.0006112,0.5609,-0.06483,0.4062,0.25,0
17,0.01325,0.2975,0.5593,1.026,1.793,175.7,700,0.6552,0.001005,0.5467,-0.001111,0.4062,0.25,0
18,0.009501,0.4035,0.514,0.9654,1.449,164.3,427,0.4256,0.0007888,0.7938,-0.1318,0.625,0,0
19,0.01695,0.2963,0,1.032,2.777,267.8,700,0.9788,0.0009482,0.5722,-0.07949,0.4062,0,0
20,0.01172,0.4046,0,0.9661,2.712,216.7,700,0.5156,0.001099,0.8375,-0.1434,0.6562,0.25,0
21,0.01477,0.4948,0.1622,1.005,1.62,222.2,700,0.7362,0.001409,0.4124,-0.02669,0.25,0,0
22,0.0141,0.5808,0.2544,0.9667,1.835,187.3,700,0.5521,0.0008881,0.8125,0.03504,0.625,0.25,0.25
23,0.01503,0.4843,0.1746,1.027,2.857,221.3,700,0.7121,0.001006,0.4609,0.02764,0.2812,0.5,0.25
24,0.01591,0.4252,0.2823,1.081,2.06,229.6,700,0.8541,0.001139,0.7729,0.3364,0.5938,0.25,0
25,0.01737,0.6597,0.3906,0.9799,2.869,178.2,700,0.6811,0.002284,0.5368,-0.01673,0.375,0,0
26,0.01462,0.2621,0.0526,0.9015,1.88,221.5,700,0.7873,0.001518,0.7106,0.105,0.5312,0.25,0
27,0.01241,0.3515,0.3043,0.8618,1.524,198.9,680,0.5567,0.001681,0.6188,0.04373,0.4375,0.25,0
28,0.01392,0.6306,0.2526,1.031,2.439,175.8,700,0.598,0.003046,0.518,-0.1536,0.3438,0,0
29,0.01838,0.4774,0.1487,0.9283,2.302,184.9,700,0.7284,0.002065,0.6464,0.03459,0.5,0.25,0
30,0.01696,0.3688,0.1959,0.941,1.857,220.6,700,0.8355,0.001838,0.6886,0.3792,0.5,0.25,0
31,0.01638,0.6678,0,0.8511,2.062,253,700,0.6858,0.002884,0.6191,-0.003797,0.4375,0,0
32,0.01171,0.7137,0.403,1.004,1.97,144.4,274,0.3752,0.005416,0.8938,-0.04483,0.7188,0,0
33,0.0171,0.697,0.1718,0.9405,2.903,173,700,0.5489,0.005315,0.7313,-0.08905,0.5625,0,0
34,0.01505,0.5601,0.18,1.07,2.398,228.2,700,0.5738,0.003294,0.55,-0.1228,0.375,0.5,0.25
35,0.01852,0.8871,0.1568,0.9473,1.508,221.4,700,0.8655,0.004321,0.7971,0.2566,0.625,0,0
36,0.0131,0.7414,0.3682,0.9283,1.973,152.6,427,0.419,0.005168,0.7813,-0.06915,0.5938,0.25,0.25
37,0.01918,1.027,0.0908,1.017,2.162,202.5,700,0.7613,0.009203,0.8433,-0.1087,0.6562,0,0
38,0.01659,1.365,0,0.8425,1.907,211.8,700,0.5192,0.01343,0.3985,-0.01592,0.2188,0.5,0.25
39,0.01585,0.821,0.1591,1.039,2.158,172.9,531,0.4891,0.00822,1.006,-0.09165,0.8125,0.25,0.25
40,0.01633,1.122,0.1108,0.8343,2.062,196.1,700,0.4761,0.0105,0.7433,-0.07511,0.5625,0,0
41,0.01954,1.252,0,0.9975,2.657,200.8,700,0.6365,0.008466,0.5813,0.02384,0.4062,0,0
42,0.01905,1.034,0,0.8746,1.811,164.2,553,0.5555,0.008904,0.5875,-0.01512,0.4062,0.25,0
43,0.01962,1.107,0,0.8816,1.95,174.3,700,0.7627,0.01075,0.7351,-0.1324,0.5625,0,0
44,0.01825,0.9629,0,1.029,2.792,217.8,700,0.6128,0.008219,0.521,0.009256,0.3438,0,0
45,0.0188,1.725,0.06445,0.7498,1.998,251.5,700,0.6096,0.01488,0.4464,-0.01266,0.2812,0.5,0.25
46,0.01745,1.495,0.02766,0.849,2.468,165.9,528,0.4062,0.02294,0.6813,-0.1498,0.5,0.25,0
47,0.02211,1.288,0.09571,0.8704,2.968,164,700,0.5655,0.02178,0.8375,-0.08133,0.6562,0.25,0.25
48,0.01901,0.8691,0,0.7898,2.797,234.4,700,0.4691,0.01098,0.7813,-0.1306,0.5938,0.25,0.25
49,0.01955,1.825,0.07713,0.9418,2.129,196.8,700,0.5579,0.01541,0.9438,-0.2026,0.75,0.25,0.25
50,0.01867,1.11,0,0.902,2.77,222,700,0.4771,0.01025,0.7625,-0.06908,0.5625,0,0
51,0.02284,1.284,0,0.8732,2.409,201,700,0.6687,0.01509,0.7348,0.5309,0.5625,0.25,0.25
52,0.02304,1.92,0.01029,0.8785,2.703,173.6,700,0.6399,0.02911,0.6855,-0.08778,0.5,0.25,0
53,0.02419,2.812,0,0.837,2.32,218.8,700,0.7418,0.1067,0.4959,-0.09524,0.3125,0.25,0.25
54,0.02186,1.733,0,0.9798,2.917,187.6,700,0.4726,0.0202,0.6938,-0.1755,0.5312,0.25,0
55,0.02182,1.616,0,0.9916,2.544,181.5,700,0.5532,0.03122,0.9469,0.05388,0.75,0.5,0.25
56,0.0226,2.054,0,0.5902,2.307,252.4,700,0.6342,0.02538,0.7973,0.0004414,0.625,0.25,0.25
57,0.02118,1.733,0,0.7258,2.376,229.7,700,0.3997,0.02328,0.725,-0.2192,0.5312,0.25,0.25
58,0.01864,2.152,0,0.8942,2.733,206.7,423,0.3734,0.01546,0.6938,-0.06169,0.5,0.5,0.5
59,0.0221,1.449,0.04239,0.9764,2.702,199,666,0.4997,0.01602,0.9813,-0.2227,0.7812,0,0
60,0.02659,1.876,0,1.105,2.995,217.5,700,0.7584,0.01958,0.7463,0.1833,0.5625,0.75,0
61,0.02424,1.928,0,0.8168,2.349,188.4,700,0.5186,0.02621,0.8709,0.02843,0.6875,0,0
62,0.02456,1.178,0,0.8386,2.398,194.2,302,0.4986,0.02273,0.5438,-0.158,0.3438,0.25,0.25
63,0.0233,2.276,0,0.713,2.282,234.4,700,0.5566,0.02911,0.4062,-0.2782,0.2188,0.5,0.25
64,0.02239,1.974,0,0.6864,2.669,207.3,662,0.385,0.02826,0.6,0.1148,0.4062,0,0
65,0.02801,1.807,0,0.7896,2.686,201.9,571,0.5094,0.02343,0.5188,-0.08202,0.3438,0.5,0.25
66,0.02465,4.551,0,0.6064,2.821,177.6,625,0.4318,0.0781,0.7,0.1313,0.5,0,0
67,0.02292,2.27,0,0.5462,1.698,207.5,619,0.4718,0.02524,0.5313,-0.1132,0.3438,0,0
68,0.02034,1.619,0,0.959,2.997,160.7,407,0.3176,0.03662,1.075,-0.06198,0.875,0.25,0.25
69,0.02738,2.205,0,0.6614,2.601,146,521,0.4498,0.03561,0.9188,0.03168,0.7188,0.25,0.25
70,0.02023,2.249,0,1.002,2.725,196.9,645,0.3453,0.07485,0.6875,-0.06236,0.5,0,0
71,0.02036,3.947,0.002388,0.7678,1.819,163.8,319,0.2517,0.05991,0.8188,-0.05012,0.625,0.25,0.25
72,0.02192,2.055,0,0.8428,2.688,253.9,700,0.5921,0.02572,0.4303,-0.1104,0.25,0.5,0.25
73,0.02568,3.157,0,0.7013,2.258,122,700,0.3192,0.07829,0.9813,-0.02706,0.7812,0.5,0.5
74,0.02675,1.302,0,0.7807,2.306,169,700,0.5538,0.01416,0.575,-0.06035,0.375,0.25,0.25
75,0.02371,0.906,0,0.7458,1.907,214.2,382,0.5827,0.0134,0.4438,0.06437,0.25,0.5,0.25
76,0.01753,1.837,0.1518,1.094,2.567,189.6,382,0.3761,0.01291,0.7313,-0.1827,0.5312,0.25,0.25
77,0.02311,1.615,0,0.7815,2.686,167.8,275,0.397,0.03229,0.8188,-0.02042,0.625,0,0
78,0.01747,1.622,0.1348,1.026,2.781,202.5,700,0.3918,0.02138,0.7618,0.09375,0.5625,0,0
79,0.0217,0.9973,0.002315,0.9355,2.365,196.4,700,0.6038,0.01519,0.6903,0.0802,0.5,0,0
80,0.02251,1.17,0,0.7993,1.776,211.4,700,0.6112,0.01224,1.039,-0.03837,0.8438,0,0
81,0.02286,2.77,0,0.9294,2.158,197.7,700,0.6188,0.02626,0.7563,0.129,0.5625,0,0
82,0.02005,1.367,0,0.9484,2.427,204.6,671,0.502,0.02024,0.5063,-0.2637,0.3125,0.25,0
83,0.01878,1.371,0.1147,0.8809,2.57,160.4,295,0.361,0.009337,0.8563,-0.07792,0.6562,0,0
84,0.01927,1.318,0,1.024,2.951,141.2,226,0.344,0.02425,0.9313,-0.1673,0.75,0,0
85,0.02335,3.178,0.07516,0.7857,2.722,169,620,0.5596,0.1156,0.875,-0.09777,0.6875,0,0
86,0.02012,1.577,0,0.878,2.402,204.4,700,0.5136,0.01836,0.7875,0.02523,0.5938,0.5,0.25
87,0.02052,1.297,0,1.057,2.668,162.7,513,0.451,0.01332,0.8813,0.08862,0.6875,0.25,0.25
88,0.02117,1.468,0,0.7755,2.028,198.7,700,0.6669,0.01319,0.9987,-0.04096,0.8125,0.25,0.25
89,0.02039,2.034,0,0.9342,2.289,154,700,0.4283,0.01697,1.006,0.05454,0.8125,0.5,0.25
90,0.01632,1.757,0.302,1.301,2.877,155.9,270,0.3842,0.0212,1.069,-0.02639,0.875,0.25,0.25
91,0.02433,1.442,0.0288,0.7562,2.582,213.3,700,0.8296,0.01985,0.7139,-0.06022,0.5312,0.25,0
92,0.01962,2.124,0,0.9274,2.299,185.7,700,0.4639,0.0228,0.8438,-0.194,0.6562,0,0
93,0.0192,0.7951,0.05417,1.05,2.553,184.6,469,0.5427,0.01164,0.6938,-0.01072,0.5,0,0
94,0.01806,1.225,0.02124,0.9437,2.56,182.1,700,0.4435,0.01122,1.012,-0.03818,0.8125,0.25,0
95,0.02106,1.696,0,0.9455,2.554,183.4,700,0.6142,0.01973,0.825,-0.4979,0.625,0,0
96,0.01822,1.457,0,0.9186,2.703,231.6,700,0.5828,0.01026,0.6313,-0.04558,0.4375,0.25,0.25
97,0.01825,1.8,0.08153,0.7952,1.652,190.8,700,0.5335,0.01714,0.7228,0.001299,0.5312,0.25,0.25
98,0.02034,1.696,0.09634,1.106,2.515,163.8,700,0.5829,0.01692,0.8813,-0.2189,0.6875,0,0
99,0.02103,1.559,0,0.7726,1.762,257.8,700,0.7447,0.01136,0.4345,0.06175,0.25,0.25,0
100,0.02041,1.49,0.0865,0.9694,2.173,172.1,700,0.7477,0.01356,0.6369,-0.2824,0.4375,0,0
101,0.01692,0.9053,0,0.754,2.514,280.1,700,0.5851,0.01313,0.8438,-0.01173,0.6562,0.25,0.25
102,0.02159,1.721,0.09175,0.9273,2.782,299.5,700,0.9847,0.0122,0.4328,-0.09092,0.25,1,0.25
103,0.02248,1.043,0.1147,0.8086,2.37,211.5,700,0.7042,0.02419,0.7234,0.02881,0.5312,0.25,0.25
104,0.02283,0.8601,0,0.8977,2.365,260.3,700,0.8153,0.009308,0.4957,-0.05144,0.3125,0.25,0
105,0.02051,1.687,0,0.8533,2.713,296.1,700,0.7095,0.02381,0.745,0.09516,0.5625,0.5,0
106,0.02806,4.117,0.009141,0.6621,2.099,214.6,700,0.6633,0.01887,0.7299,0.1821,0.5312,0.25,0
